,date,open,close,high,low,volume,code
153,2017-11-01,23.59,23.68,23.86,23.35,5574.0,000004
154,2017-11-02,23.55,23.6,23.76,23.03,7704.0,000004
155,2017-11-03,23.6,23.16,23.66,23.03,4791.0,000004
156,2017-11-06,23.36,23.21,23.36,23.0,2522.0,000004
157,2017-11-07,23.34,23.34,23.36,23.15,3374.0,000004
158,2017-11-08,23.38,23.5,23.79,23.25,4295.0,000004
159,2017-11-09,23.5,23.57,23.63,23.36,3067.0,000004
160,2017-11-10,23.57,25.93,25.93,23.53,55536.0,000004
161,2017-11-13,25.79,24.75,25.99,24.58,34272.0,000004
162,2017-11-14,24.54,24.2,25.24,24.2,18421.0,000004
163,2017-11-15,24.27,26.62,26.62,24.27,67213.0,000004
164,2017-11-16,26.5,27.81,29.28,26.0,76761.0,000004
165,2017-11-17,27.66,27.88,29.38,26.1,60343.0,000004
166,2017-11-20,28.23,27.48,28.75,27.0,43452.0,000004
167,2017-11-21,27.19,30.23,30.23,26.52,64583.0,000004
168,2017-11-22,29.19,30.04,31.44,29.19,64118.0,000004
169,2017-11-23,30.68,28.15,30.69,27.44,45153.0,000004
170,2017-11-24,28.18,27.45,28.96,27.0,39524.0,000004
171,2017-11-27,27.6,26.05,27.84,25.74,32284.0,000004
172,2017-11-28,25.91,26.37,26.87,25.78,31337.0,000004
173,2017-11-29,26.47,25.52,26.59,25.06,30904.0,000004
174,2017-11-30,25.5,25.56,25.82,25.16,23286.0,000004
175,2017-12-01,25.41,26.2,26.4,25.18,22110.0,000004
176,2017-12-04,26.25,25.37,26.25,25.21,16006.0,000004
177,2017-12-05,25.23,22.96,25.54,22.83,30519.0,000004
178,2017-12-06,22.59,22.73,22.99,21.42,24779.0,000004
179,2017-12-07,22.33,22.74,22.77,22.09,14259.0,000004
180,2017-12-08,22.4,22.91,23.26,22.4,13808.0,000004
181,2017-12-11,22.91,22.61,23.09,22.61,13589.0,000004
182,2017-12-12,22.62,23.25,24.5,22.62,26363.0,000004
183,2017-12-13,22.75,22.97,23.16,22.5,13490.0,000004
184,2017-12-14,22.97,23.66,23.97,22.8,20844.0,000004
185,2017-12-15,23.38,23.75,24.52,23.32,20057.0,000004
186,2017-12-18,23.94,22.8,23.94,22.51,13060.0,000004
187,2017-12-19,22.8,22.91,23.18,22.44,11365.0,000004
188,2017-12-20,22.93,22.04,23.01,21.5,26948.0,000004
189,2017-12-21,22.0,22.04,22.2,21.02,15652.0,000004
