Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,28.96,30.54,28.73,29.15,622931.0,29.15
2017-11-02,29.3,29.48,28.68,29.45,361906.0,29.45
2017-11-03,29.23,29.52,28.05,28.19,455428.0,28.19
2017-11-06,28.2,28.27,26.95,27.46,509485.0,27.46
2017-11-07,27.36,27.95,27.3,27.85,379818.0,27.85
2017-11-08,27.75,28.14,27.41,27.64,398661.0,27.64
2017-11-09,27.52,27.79,27.3,27.67,234126.0,27.67
2017-11-10,27.6,27.83,27.36,27.51,305912.0,27.51
2017-11-13,27.45,27.49,26.8,27.06,347146.0,27.06
2017-11-14,27.05,28.5,26.7,28.5,735825.0,28.5
2017-11-15,28.28,28.66,27.91,28.44,541077.0,28.44
2017-11-16,28.35,29.38,28.32,28.94,574432.0,28.94
2017-11-17,28.85,29.6,28.6,28.9,563943.0,28.9
2017-11-20,28.8,29.01,27.48,28.9,395088.0,28.9
2017-11-21,28.54,31.79,28.54,31.79,1081788.0,31.79
2017-11-22,31.9,33.08,31.54,32.5,1052969.0,32.5
2017-11-23,32.42,32.74,31.02,31.3,580325.0,31.3
2017-11-24,31.18,32.29,30.47,31.8,524343.0,31.8
2017-11-27,31.45,32.6,30.59,31.52,521581.0,31.52
2017-11-28,31.09,31.35,30.1,30.75,405786.0,30.75
2017-11-29,30.78,33.83,30.28,33.82,897712.0,33.82
2017-11-30,33.1,33.4,30.68,31.22,1000665.0,31.22
2017-12-01,30.5,32.03,30.5,30.73,557438.0,30.73
2017-12-04,30.6,31.3,29.9,30.85,379890.0,30.85
2017-12-05,30.6,31.48,30.2,31.03,564302.0,31.03
2017-12-06,30.73,31.2,30.26,30.77,389794.0,30.77
2017-12-07,30.57,31.9,29.9,29.95,590007.0,29.95
2017-12-08,29.38,29.88,29.05,29.82,588187.0,29.82
2017-12-11,29.82,29.95,29.3,29.93,502135.0,29.93
2017-12-12,29.73,30.36,29.51,29.57,467638.0,29.57
2017-12-13,29.57,30.1,29.35,29.94,334953.0,29.94
2017-12-14,29.94,30.37,29.85,30.11,382067.0,30.11
2017-12-15,30.12,30.12,29.1,29.11,396229.0,29.11
2017-12-18,29.11,29.26,28.04,28.46,421286.0,28.46
2017-12-19,28.66,29.25,28.4,29.16,340084.0,29.16
2017-12-20,29.09,29.1,28.52,28.6,329026.0,28.6
2017-12-21,28.72,30.19,28.63,29.72,595163.0,29.72
